node,x_c,y_c,arc_s,local_spacing_ds,surface
152,0.006684708250720663,-0.010766840676887665,1.0043335451406454,0.0020739658530833927,lower
153,0.005178261658753921,-0.00944737912852111,1.006336133493769,0.0019353677951281512,lower
154,0.003862684979468913,-0.008121018656957014,1.0082042807309017,0.0018061740026705797,lower
155,0.002738474815552761,-0.006787456574725219,1.0099484814991102,0.0016887887477547991,lower
156,0.0018060518560592024,-0.00544637232759607,1.0115818582264113,0.0015860504425502242,lower
157,0.0010657610571854661,-0.00409743142196011,1.0131205823842107,0.0015011436182637006,lower
158,0.0005178718595798428,-0.002740289457181413,1.0145841454629387,0.001437357786583382,lower
159,0.00016257844060680208,-0.0013745962452942323,1.0159952979573774,0.0013976648591266239,lower
160,0.0,0.0,1.017379475181192,0.001384177362798833,lower
161,3.018107732837946e-05,0.0013838484234242946,1.018763652682975,0.001397668682980746,upper
162,0.00025309189969725625,0.0027772912559577705,1.0201748125471535,0.0014373779559914146,upper
163,0.0006686287580985993,0.0041806595292413476,1.021638408594958,0.0015012032668569875,upper
164,0.0012766144108128338,0.005594268795495107,1.0231772190808675,0.0015861804022182513,upper
165,0.0020767985122503102,0.0070184148719094,1.0248107693993944,0.001689024738028122,upper
166,0.003068858065604794,0.008453369628415065,1.0265552685569237,0.0018065545855856513,upper
167,0.004252397897668828,0.009899376837595262,1.0284238785705657,0.0019359332066195556,upper
168,0.0056269511541415665,0.011356648105289349,1.0304271349701628,0.0020747575144958175,upper
169,0.007191979813733747,0.01282535890013812,1.0325733935995574,0.002221051778735217,upper
170,0.00894687521935087,0.01430564469994711,1.0348692385276332,0.0023732165883963985,upper
171,0.01089095862461223,0.015797597272295575,1.0373198267763502,0.0025299645638544588,upper
172,0.013023481753937862,0.01730126110629246,1.0399291676553422,0.002690258637696785,upper
173,0.015343627374417152,0.01881663001178837,1.0427003440517437,0.002853259083053117,upper
174,0.017850509877653197,0.020343643901686703,1.0456356858214484,0.0030182805417785508,upper
175,0.02054317586976517,0.021882185772268907,1.0487369051353008,0.003184758193376269,upper
176,0.02342060476772336,0.02343207889565606,1.052005202208201,0.003352221530297239,upper
177,0.026481709400192316,0.02499308423767918,1.0554413481958953,0.0035202741718108888,upper
178,0.02972533661106556,0.026564898113523826,1.0590457505518227,0.0036885783547074835,upper
179,0.033150267863894,0.028147150092558366,1.0628185049053103,0.003856843001097565,upper
180,0.03675521984544015,0.029739401162751783,1.0667594365540178,0.004024814507613161,upper
181,0.04053884506663076,0.031341142164040124,1.0708681339205366,0.004192269603110255,upper
182,0.044499732459236316,0.03295179249891801,1.0751439757602383,0.004359009781513712,upper
183,0.04863640796667253,0.03457069912741412,1.079586153483564,0.004524856938409316,upper
184,0.05294733512740585,0.036197135852465694,1.084193689637057,0.004689649931814199,upper
185,0.057430915649539296,0.03783030290053841,1.0889654533471924,0.004853241856191293,upper
186,0.0620854899752744,0.03946932680115323,1.0939001733494396,0.0050154978699357144,upper
187,0.06690933783407277,0.041113260567782806,1.0989964490870638,0.005176293454713932,upper
188,0.07190067878348913,0.04276108418137349,1.1042527602588674,0.00533551301356705,upper
189,0.07705767273681126,0.04441170537654104,1.109667475114198,0.005493048736096573,upper
190,0.08237842047682113,0.046063960729281365,1.1152388577310606,0.005648799675189942,upper
191,0.08786096415518477,0.0477166170438394,1.1209650744645778,0.0058026709919801744,upper
192,0.09350328777718861,0.04936837303519383,1.126844199715021,0.005954573335058999,upper
193,0.09930331767176086,0.051017861302447474,1.1328742211346958,0.0061044223271155,upper
194,0.1052589229469502,0.05266365058726742,1.139053044369252,0.006252138137693319,upper
195,0.11136791593128069,0.05430424831040151,1.1453784974100825,0.006397645125045814,upper
196,0.11762805260165249,0.05593810337821088,1.1518483346193436,0.006540871533424197,upper
197,0.12403703299872207,0.05756360925010859,1.1584602404769309,0.006681749234771939,upper
198,0.1305925016309598,0.059179107256784186,1.1652118330888874,0.006820213505894013,upper
199,0.13729204786885213,0.06078289015812849,1.1721006674887189,0.006956202833843794,upper
200,0.14413320633098647,0.06237320592885541,1.179124238756575,0.007089658743615224,upper
201,0.151113457264024,0.06394826175895131,1.1862799849759493,0.007220525643323206,upper
202,0.15823022691882987,0.06550622825527119,1.1935652900432214,0.007348750682949046,upper
203,0.16548088792528828,0.06704524382984707,1.2009774863418474,0.007474283623463696,upper
204,0.17286275966857595,0.06856341925978063,1.2085138572901488,0.007597076713756756,upper
205,0.18037310866990508,0.0700588424029615,1.216171639769361,0.007717084573310218,upper
206,0.18800914897496673,0.07152958305328733,1.2239480264367693,0.007834264078991904,upper
207,0.19576804255350977,0.07297369791856209,1.2318401679273447,0.007948574254710405,upper
208,0.20364689971367414,0.07438923570381895,1.23984517494619,0.008059976162987481,upper
209,0.21164277953485985,0.07577424228245278,1.2479601202533197,0.008168432797776903,upper
210,0.21975269032304962,0.07712676593725634,1.2561820405417439,0.008273908978088773,upper
211,0.22797359009261436,0.07844486265323465,1.2645079382094973,0.008376371242180825,upper
212,0.23630238707871273,0.07972660144392353,1.2729347830261055,0.008475787742249774,upper
213,0.24473594028444792,0.08097006969286197,1.2814595136939968,0.008572128139706536,upper
214,0.253271060066966,0.08217337849186125,1.2900790393055186,0.008665363501244805,upper
215,0.2619045087666656,0.0833346679577799,1.2987902406964864,0.008755466196017525,upper
216,0.270633001383644,0.08445211250964738,1.3075899716975536,0.0088424097943266,upper
217,0.2794532063054196,0.08552392608818403,1.3164750602851396,0.008926168968303116,upper
218,0.28836174608986054,0.08654836730003501,1.3254423096341599,0.00900671939510922,upper
219,0.29735519830708934,0.08752374446937417,1.334488499075358,0.009084037663233735,upper
220,0.3064300964439521,0.08844842057993373,1.3436103849606273,0.00915810118248217,upper
221,0.31558293087441736,0.08932081809098048,1.3528047014403224,0.00922888809827438,upper
222,0.3248101498990154,0.09013942361128108,1.362068161157176,0.009296377210862627,upper
223,0.3341081608561403,0.09090279241568044,1.3713974558620476,0.009360547900073013,upper
224,0.3434733313077192,0.09160955278955212,1.3807892569573221,0.009421380056151119,upper
225,0.3529019903014059,0.09225841018706714,1.3902402159743499,0.009478854017259897,upper
226,0.36239042971108176,0.0928481511899634,1.399746964991842,0.009532950514136829,upper
227,0.3719349056570466,0.09337764725428001,1.4093061170026235,0.009583650622365436,upper
228,0.38153164000686174,0.09384585823334514,1.4189142662365728,0.009630935722660272,upper
229,0.39117682195736747,0.094251835666169,1.428567988447944,0.009674787469499457,upper
230,0.40086660969794075,0.09459472582129208,1.4382638411755717,0.009715187768368105,upper
231,0.41059713215459087,0.0948737724870696,1.4479983639846803,0.009752118761802375,upper
232,0.4203644908140107,0.09508831950033045,1.4577680786991765,0.009785562824346172,upper
233,0.4301647616262201,0.09523781300633219,1.4675694896333726,0.00981550256645225,upper
234,0.4399939969839513,0.09532180344393454,1.477399083832081,0.009841920847278862,upper
235,0.44984822777644445,0.09533994725093348,1.4872533313279304,0.00986480079624974,upper
236,0.4597234655148393,0.09529200828552697,1.4971286854245804,0.00988412584316778,upper
237,0.4696157045258872,0.0951778589609227,1.507021583014266,0.009899879756594787,upper
238,0.479520924210249,0.09499748109113851,1.51692844493777,0.009912046690129905,upper
239,0.4894350913612069,0.09475096644708847,1.5268456763945257,0.009920611236153176,upper
240,0.4993541625392039,0.09443851702308437,1.5367696674100764,0.009925558486533093,upper
241,0.5092740864972297,0.09406044501490891,1.546696793367592,0.009926874099733474,upper
242,0.5191908066517084,0.0936171725116329,1.5566234156095433,0.009924544373703381,upper
243,0.5291002635932097,0.09310923090434724,1.5665458821149987,0.009918556323883276,upper
244,0.5389983976310009,0.0925372600159558,1.5764605282573099,0.009908897765622204,upper
245,0.5488811513651976,0.09190200695712923,1.586363677646243,0.009895557400265487,upper
246,0.5587444722800413,0.09120432471444188,1.5962516430578408,0.009878524904148311,upper
247,0.5685843153516487,0.09044517047760525,1.6061207274545397,0.00985779101971207,upper
248,0.5783966456634287,0.08962560371356668,1.615967225097265,0.009833347647951518,upper
249,0.5881774410222731,0.08874678399605583,1.6257874227504427,0.009805187941400728,upper
250,0.5979226945685586,0.08780996859993564,1.6355776009800664,0.009773306396868464,upper
251,0.6076284173729977,0.08681650987043855,1.6453340355441797,0.00973769894715093,upper
252,0.6172906410134028,0.0857678523780474,1.6550529988743683,0.009698363050968717,upper
253,0.6269054201245106,0.084665529870406,1.664730761646117,0.009655297780403527,upper
254,0.6364688349141352,0.08351116203321401,1.6743635944351754,0.009608503905143562,upper
255,0.6459769936390867,0.08230645107257743,1.6839477694564042,0.00955798397288743,upper
256,0.6554260350344976,0.08105317813174047,1.6934795623809502,0.009503742385298053,upper
257,0.6648121306904492,0.0797531995555216,1.7029552542270003,0.009445785468953138,upper
258,0.6741314873700792,0.07840844301610966,1.7123711333188565,0.009384121540786938,upper
259,0.6833803492636672,0.07702090351414831,1.7217234973085742,0.009318760967575335,upper
260,0.6925550001735581,0.07559263926924273,1.7310086552540072,0.00924971621907933,upper
261,0.7016517656251601,0.07412576751416797,1.7402229297467329,0.009177001914517646,upper
262,0.7106670148996735,0.0726224602071345,1.7493626590830424,0.009100634862104884,upper
263,0.7195971629846367,0.07108493967648276,1.7584241994709426,0.009020634091452595,upper
264,0.7284386724388295,0.06951547421212742,1.7674039272659476,0.008937020878692414,upper
265,0.7371880551685495,0.06791637361796043,1.7762982412283275,0.008849818764245398,upper
266,0.7458418741127556,0.06628998473924587,1.7851035647944384,0.008759053563217378,upper
267,0.7543967448350641,0.06463868697880559,1.7938163483547622,0.008664753368462397,upper
268,0.7628493370210795,0.06296488781549893,1.8024330715313632,0.008566948546410935,upper
269,0.771196375880032,0.06127101833815151,1.810950245447584,0.008465671725811474,upper
270,0.7794346434501934,0.059559528807679896,1.8193644149829862,0.008360957779588785,upper
271,0.7875609798080182,0.05783288425970501,1.8276721610067617,0.008252843800061305,upper
272,0.7955722841814299,0.05609356015944171,1.8358701025831088,0.008141369067810933,upper
273,0.8034655159681391,0.054344038120099934,1.8439548991423835,0.008026575014530746,upper
274,0.8112376956603055,0.052586801695443296,1.8519232526121703,0.007908505180212577,upper
275,0.8188859056772847,0.0508243322565188,1.8597719095028087,0.007787205165068811,upper
276,0.8264072911085928,0.049059104961907754,1.867497662942308,0.007662722576601055,upper
277,0.8337990603695816,0.047293584830154806,1.8750973546560108,0.007535106972257011,upper
278,0.8410584857726697,0.045530222922309196,1.882567876886822,0.0074044097981290635,upper
279,0.8481829040172726,0.043771452641773366,1.889906174252269,0.007270684324156562,upper
280,0.85516971660185,0.04201968615789424,1.897109245535135,0.007133985576307178,upper
281,0.8620163901617411,0.040277310958960845,1.9041741454048833,0.006994370266212191,upper
282,0.8687204567366547,0.0385466865394942,1.9110979860675594,0.00685189671872688,upper
283,0.8752795139718601,0.03683014122593166,1.917877938842337,0.006706624797888416,upper
284,0.8816912252572651,0.035129969144026524,1.9245112356633363,0.0065586158317272325,upper
285,0.8879533198086591,0.03344842733050957,1.9309951705057915,0.006407932536380945,upper
286,0.8940635926954862,0.031787732990789686,1.9373271007360982,0.006254638939942714,upper
287,0.9000199048195273,0.030150060903722867,1.943504448385677,0.0060988003064561536,upper
