station,x_c,y_delta,y_mm,u_Ue,T_Te,T_K,Me_edge,H_shape,H_profile,recovery_r,delta_mm,intermittency_gamma,state
x/c=0.30,0.3,0.897,1.6409,0.978,1.0023,211.11,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.923,1.6878,0.982,1.0019,211.03,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.949,1.7347,0.9853,1.0016,210.95,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,0.974,1.7816,0.9881,1.0013,210.89,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.30,0.3,1.0,1.8284,0.9905,1.001,210.84,0.563,2.49,2.504,0.8485,1.8284,0.0,laminar
x/c=0.60,0.6,0.0,0.0,0.0,1.05,222.15,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.026,0.0892,0.0489,1.0499,222.13,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.051,0.1784,0.0615,1.0498,222.11,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.077,0.2676,0.0743,1.0498,222.09,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.103,0.3568,0.0887,1.0496,222.07,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.128,0.446,0.1054,1.0495,222.03,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.154,0.5352,0.1244,1.0493,221.99,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.179,0.6244,0.146,1.049,221.93,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.205,0.7136,0.1701,1.0486,221.85,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.231,0.8028,0.1967,1.0481,221.74,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.256,0.892,0.2259,1.0475,221.61,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.282,0.9812,0.2574,1.0467,221.45,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.308,1.0704,0.2912,1.0458,221.25,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.333,1.1596,0.3272,1.0447,221.02,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.359,1.2488,0.365,1.0434,220.74,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.385,1.338,0.4044,1.0419,220.42,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.41,1.4272,0.445,1.0401,220.06,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.436,1.5164,0.4866,1.0382,219.65,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.462,1.6056,0.5286,1.0361,219.19,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.487,1.6948,0.5707,1.0337,218.7,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.513,1.784,0.6123,1.0313,218.18,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.538,1.8732,0.653,1.0287,217.64,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.564,1.9624,0.6923,1.0261,217.08,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.59,2.0516,0.7297,1.0234,216.51,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.615,2.1408,0.765,1.0208,215.96,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.641,2.23,0.7977,1.0182,215.42,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.667,2.3192,0.8276,1.0158,214.9,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.692,2.4083,0.8546,1.0135,214.42,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.718,2.4975,0.8786,1.0114,213.98,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.744,2.5867,0.8996,1.0095,213.59,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.769,2.6759,0.9177,1.0079,213.24,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.795,2.7651,0.9331,1.0065,212.94,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.821,2.8543,0.9459,1.0053,212.68,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.846,2.9435,0.9565,1.0043,212.47,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.872,3.0327,0.9652,1.0034,212.29,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.897,3.1219,0.9721,1.0028,212.15,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.923,3.2111,0.9777,1.0022,212.03,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.949,3.3003,0.982,1.0018,211.94,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,0.974,3.3895,0.9835,1.0016,211.91,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.60,0.6,1.0,3.4787,0.9841,1.0016,211.9,0.541,3.71,3.335,0.8539,3.4787,0.113,transitional
x/c=0.95,0.95,0.0,0.0,0.0,1.0265,223.3,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.026,0.6344,0.2762,1.0244,222.86,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.051,1.2689,0.3521,1.0232,222.58,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.077,1.9033,0.4059,1.0221,222.35,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.103,2.5378,0.4489,1.0211,222.14,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.128,3.1722,0.4855,1.0202,221.94,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.154,3.8067,0.5175,1.0194,221.75,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.179,4.4411,0.5463,1.0186,221.58,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.205,5.0756,0.5725,1.0178,221.41,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.231,5.71,0.5967,1.017,221.25,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.256,6.3445,0.6192,1.0163,221.09,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.282,6.9789,0.6404,1.0156,220.94,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.308,7.6134,0.6603,1.0149,220.79,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.333,8.2478,0.6792,1.0143,220.64,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.359,8.8823,0.6971,1.0136,220.5,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.385,9.5167,0.7143,1.013,220.36,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.41,10.1512,0.7307,1.0123,220.22,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.436,10.7856,0.7466,1.0117,220.09,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.462,11.4201,0.7618,1.0111,219.96,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.487,12.0545,0.7765,1.0105,219.83,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.513,12.689,0.7907,1.0099,219.7,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.538,13.3234,0.8044,1.0093,219.57,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.564,13.9579,0.8177,1.0088,219.45,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.59,14.5923,0.8307,1.0082,219.32,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.615,15.2268,0.8432,1.0076,219.2,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.641,15.8612,0.8555,1.0071,219.08,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.667,16.4957,0.8674,1.0066,218.97,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.692,17.1301,0.879,1.006,218.85,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.718,17.7646,0.8903,1.0055,218.73,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.744,18.399,0.9014,1.005,218.62,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.769,19.0335,0.9122,1.0044,218.51,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.795,19.6679,0.9227,1.0039,218.39,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.821,20.3024,0.9331,1.0034,218.28,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.846,20.9368,0.9432,1.0029,218.18,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.872,21.5713,0.9531,1.0024,218.07,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.897,22.2057,0.9628,1.0019,217.96,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.923,22.8402,0.9724,1.0014,217.85,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.949,23.4746,0.9817,1.001,217.75,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,0.974,24.1091,0.9909,1.0005,217.64,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
x/c=0.95,0.95,1.0,24.7435,0.9999,1.0,217.54,0.384,1.708,1.735,0.8961,24.7435,0.997,turbulent
