x_c,arc_s_m,Re_x,Cp,Ue_ms,Ue_Uinf,theta_mm,H_shape,Cf,Re_theta,Re_theta_trans,n_factor,n_crit,intermittency_gamma,state
0.75706,1.551618,4921137.0,-0.00328,124.1138,1.00149,0.92627,2.4363,0.0017974,2821.6,,0.0,8.184,0.60865,transitional
0.767289,1.572498,4987360.0,0.00748,123.5078,0.9966,0.98784,2.3317,0.0018965,2995.66,,0.0,8.184,0.64963,transitional
0.777368,1.593078,5052632.0,0.0183,122.895,0.99165,1.05074,2.2347,0.0019849,3171.88,,0.0,8.184,0.6877,transitional
0.787291,1.613345,5116913.0,0.02917,122.276,0.98666,1.11461,2.1457,0.0020627,3349.1,,0.0,8.184,0.72278,transitional
0.797053,1.633288,5180163.0,0.04007,121.6509,0.98161,1.17913,2.0645,0.0021302,3526.3,,0.0,8.184,0.75484,transitional
0.806647,1.652893,5242343.0,0.05101,121.0201,0.97652,1.24404,1.9913,0.0021878,3702.64,,0.0,8.184,0.78393,transitional
0.816069,1.672149,5303415.0,0.06197,120.3837,0.97139,1.30913,1.9255,0.0022359,3877.48,,0.0,8.184,0.81015,transitional
0.825311,1.691043,5363340.0,0.07296,119.7418,0.96621,1.37424,1.8671,0.0022753,4050.32,,0.0,8.184,0.83362,transitional
0.83437,1.709564,5422081.0,0.08398,119.0943,0.96099,1.43928,1.8154,0.0023064,4220.83,,0.0,8.184,0.85453,transitional
0.843238,1.727699,5479600.0,0.09501,118.4412,0.95571,1.5042,1.7701,0.0023301,4388.84,,0.0,8.184,0.87305,transitional
0.851912,1.745438,5535861.0,0.10608,117.7821,0.9504,1.56898,1.7306,0.0023469,4554.28,,0.0,8.184,0.88939,transitional
0.860385,1.762769,5590828.0,0.11718,117.1168,0.94503,1.63365,1.6965,0.0023576,4717.2,,0.0,8.184,0.90372,transitional
0.868651,1.779681,5644466.0,0.12831,116.4447,0.93961,1.69828,1.6672,0.0023626,4877.74,,0.0,8.184,0.91627,transitional
0.876707,1.796163,5696739.0,0.13949,115.7652,0.93412,1.76297,1.6423,0.0023625,5036.14,,0.0,8.184,0.9272,transitional
0.884547,1.812203,5747614.0,0.15073,115.0775,0.92857,1.82785,1.6214,0.0023579,5192.68,,0.0,8.184,0.9367,transitional
0.892165,1.827793,5797058.0,0.16204,114.3808,0.92295,1.89308,1.604,0.0023491,5347.74,,0.0,8.184,0.94494,transitional
0.899558,1.842921,5845039.0,0.17342,113.6738,0.91725,1.95885,1.5899,0.0023364,5501.71,,0.0,8.184,0.95206,transitional
0.906719,1.857578,5891525.0,0.18491,112.9554,0.91145,2.02537,1.5786,0.0023202,5655.08,,0.0,8.184,0.95821,transitional
0.913646,1.871754,5936485.0,0.19652,112.224,0.90555,2.0929,1.5698,0.0023007,5808.35,,0.0,8.184,0.96352,transitional
0.920332,1.885439,5979891.0,0.20828,111.4777,0.89953,2.16171,1.5635,0.002278,5962.12,,0.0,8.184,0.96808,transitional
0.926775,1.898626,6021712.0,0.2202,110.7147,0.89337,2.23214,1.5593,0.0022521,6117.03,,0.0,8.184,0.97201,transitional
0.932969,1.911304,6061922.0,0.23232,109.9326,0.88706,2.30457,1.5572,0.0022231,6273.8,,0.0,8.184,0.97539,transitional
