x_c,y_c,Cp,Vx_ms,Vy_ms,speed_ms
0.3425,-0.5925,0.02607,122.4308,2.3308,122.453
0.35,-0.5925,0.02561,122.4563,2.3617,122.4791
0.3575,-0.5925,0.02518,122.4804,2.3934,122.5038
0.365,-0.5925,0.02477,122.5032,2.4257,122.5272
0.3725,-0.5925,0.02438,122.5245,2.4588,122.5492
0.38,-0.5925,0.02402,122.5445,2.4924,122.5699
0.3875,-0.5925,0.02368,122.5631,2.5266,122.5891
0.395,-0.5925,0.02337,122.5802,2.5614,122.607
0.4025,-0.5925,0.02308,122.5959,2.5965,122.6234
0.41,-0.5925,0.02281,122.6102,2.6321,122.6384
0.4175,-0.5925,0.02258,122.6229,2.668,122.6519
0.425,-0.5925,0.02236,122.6342,2.7042,122.664
0.4325,-0.5925,0.02218,122.644,2.7406,122.6747
0.44,-0.5925,0.02202,122.6524,2.7772,122.6838
0.4475,-0.5925,0.02188,122.6593,2.8139,122.6915
0.455,-0.5925,0.02177,122.6646,2.8506,122.6978
0.4625,-0.5925,0.02169,122.6686,2.8874,122.7025
0.47,-0.5925,0.02163,122.671,2.9241,122.7059
0.4775,-0.5925,0.0216,122.672,2.9608,122.7077
0.485,-0.5925,0.02159,122.6716,2.9973,122.7082
0.4925,-0.5925,0.02161,122.6697,3.0336,122.7072
0.5,-0.5925,0.02165,122.6663,3.0696,122.7047
0.5075,-0.5925,0.02172,122.6616,3.1054,122.7009
0.515,-0.5925,0.02181,122.6555,3.1408,122.6957
0.5225,-0.5925,0.02192,122.648,3.1757,122.6891
0.53,-0.5925,0.02206,122.6391,3.2103,122.6812
0.5375,-0.5925,0.02223,122.629,3.2443,122.6719
0.545,-0.5925,0.02241,122.6175,3.2779,122.6613
0.5525,-0.5925,0.02262,122.6047,3.3108,122.6494
0.56,-0.5925,0.02285,122.5907,3.3431,122.6363
0.5675,-0.5925,0.0231,122.5754,3.3747,122.6219
0.575,-0.5925,0.02338,122.559,3.4056,122.6063
0.5825,-0.5925,0.02367,122.5414,3.4358,122.5895
0.59,-0.5925,0.02399,122.5226,3.4652,122.5716
0.5975,-0.5925,0.02432,122.5028,3.4938,122.5526
0.605,-0.5925,0.02467,122.4818,3.5215,122.5324
0.6125,-0.5925,0.02504,122.4599,3.5483,122.5113
0.62,-0.5925,0.02543,122.4369,3.5741,122.4891
0.6275,-0.5925,0.02584,122.413,3.599,122.4659
0.635,-0.5925,0.02626,122.3882,3.623,122.4418
0.6425,-0.5925,0.0267,122.3625,3.6459,122.4168
0.65,-0.5925,0.02715,122.3359,3.6677,122.3909
0.6575,-0.5925,0.02762,122.3086,3.6885,122.3642
0.665,-0.5925,0.0281,122.2805,3.7082,122.3367
0.6725,-0.5925,0.0286,122.2517,3.7268,122.3085
0.68,-0.5925,0.0291,122.2222,3.7443,122.2796
0.6875,-0.5925,0.02962,122.1921,3.7606,122.25
0.695,-0.5925,0.03015,122.1614,3.7757,122.2198
0.7025,-0.5925,0.03069,122.1302,3.7897,122.189
0.71,-0.5925,0.03124,122.0985,3.8024,122.1577
0.7175,-0.5925,0.03179,122.0663,3.814,122.1259
0.725,-0.5925,0.03235,122.0338,3.8243,122.0937
0.7325,-0.5925,0.03292,122.0009,3.8334,122.0611
0.74,-0.5925,0.0335,121.9676,3.8412,122.0281
0.7475,-0.5925,0.03408,121.9342,3.8479,121.9949
0.755,-0.5925,0.03466,121.9005,3.8532,121.9613
0.7625,-0.5925,0.03525,121.8666,3.8574,121.9276
0.77,-0.5925,0.03584,121.8326,3.8603,121.8937
0.7775,-0.5925,0.03644,121.7985,3.8619,121.8597
0.785,-0.5925,0.03703,121.7644,3.8624,121.8256
0.7925,-0.5925,0.03762,121.7303,3.8616,121.7915
0.8,-0.5925,0.03822,121.6962,3.8595,121.7574
0.8075,-0.5925,0.03881,121.6623,3.8563,121.7234
0.815,-0.5925,0.0394,121.6285,3.8519,121.6894
0.8225,-0.5925,0.03999,121.5948,3.8462,121.6557
0.83,-0.5925,0.04057,121.5614,3.8394,121.622
0.8375,-0.5925,0.04115,121.5283,3.8315,121.5887
0.845,-0.5925,0.04173,121.4954,3.8224,121.5556
0.8525,-0.5925,0.0423,121.463,3.8122,121.5228
0.86,-0.5925,0.04286,121.4308,3.8008,121.4903
0.8675,-0.5925,0.04342,121.3992,3.7884,121.4582
0.875,-0.5925,0.04397,121.3679,3.775,121.4266
0.8825,-0.5925,0.04451,121.3372,3.7605,121.3954
0.89,-0.5925,0.04504,121.3069,3.7449,121.3647
0.8975,-0.5925,0.04556,121.2773,3.7285,121.3346
0.905,-0.5925,0.04608,121.2482,3.711,121.305
0.9125,-0.5925,0.04658,121.2197,3.6926,121.276
0.92,-0.5925,0.04707,121.1919,3.6733,121.2476
0.9275,-0.5925,0.04755,121.1648,3.6532,121.2198
0.935,-0.5925,0.04802,121.1383,3.6322,121.1928
0.9425,-0.5925,0.04848,121.1126,3.6104,121.1664
0.95,-0.5925,0.04892,121.0876,3.5879,121.1408
0.9575,-0.5925,0.04935,121.0634,3.5646,121.1159
0.965,-0.5925,0.04977,121.04,3.5406,121.0918
0.9725,-0.5925,0.05017,121.0174,3.5159,121.0684
